[rosmaster.main][INFO] 2023-09-04 14:42:46,402: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-04 14:42:46,402: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-04 14:42:46,407: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-04 14:42:46,407: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2023-09-04 14:42:46,408: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2023-09-04 14:42:46,408: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-04 14:42:46,415: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,416: +PARAM [/roslaunch/uris/host_ubuntu__36377] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,486: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/rosbag_filename] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/pointcloud_texture_stream] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/enable_sync] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/align_depth] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/fisheye_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,487: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/enable_fisheye] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/depth_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/depth_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/confidence_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/enable_confidence] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/confidence_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,488: +PARAM [/camera/realsense2_camera/color_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/enable_color] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/infra_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/infra_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/enable_infra] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/enable_infra1] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/enable_infra2] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/infra_rgb] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 14:42:46,489: +PARAM [/camera/realsense2_camera/infra_fps] by /roslaunch
